title,subtitle,authors,publisher,isbn13,isbn10,published_year,pages,language,script,format,category,description,price
Na Drini ćuprija,,Ivo Andrić:author,Vulkan izdavaštvo,9788610034745,,2024,318,sr,Latn,paperback,Klasici srpske knjizevnosti,"Roman-hronika o mostu u Visegradu kroz cetiri veka istorije Bosne. Andric je Nobelovu nagradu (1961) dobio za celokupan opus, ne za pojedini roman.",16.99
Travnička hronika,,Ivo Andrić:author,Nova knjiga,9788674706381,,2016,450,sr,Latn,hardcover,Klasici srpske knjizevnosti,"Hronika o Travniku u doba Napoleonovih ratova, vidjena ocima stranih konzula.",23.99
Prokleta avlija,,Ivo Andrić:author,,,,1954,,sr,,paperback,Klasici srpske knjizevnosti,Kratki roman o istanbulskom zatvoru i sudbinama zatocenika.,10.99
Romani (Travnička hronika / Na Drini ćuprija / Gospođica / Prokleta avlija),,Ivo Andrić:author,Laguna,9788652115099,,2014,776,sr,Latn,hardcover,Klasici srpske knjizevnosti,Zbirni tom cetiri Andriceva romana u jednoj knjizi.,25.99
Derviš i smrt,,Meša Selimović:author,Vulkan izdavaštvo,9788610009729,,2014,375,sr,Latn,paperback,Klasici srpske knjizevnosti,Psiholoski i filozofski roman o dervisu koji traga za pravdom nakon bratovljevog hapsenja.,18.99
Tvrđava,,Meša Selimović:author,Vulkan izdavaštvo,9788610009736,,,335,sr,Latn,paperback,Klasici srpske knjizevnosti,Roman o povratniku iz rata koji nastoji da ocuva ljudskost u nepravednom drustvu.,17.99
Hazarski rečnik,androgino izdanje,Milorad Pavić:author,Kosmos izdavaštvo,9788663691919,,2020,334,sr,Latn,hardcover,Klasici srpske knjizevnosti,"Roman-leksikon o nestanku naroda Hazara, komponovan kao tri ukrstena recnika.",23.99
Seobe,,Miloš Crnjanski:author,Laguna,9788652120154,,,780,sr,,hardcover,Klasici srpske knjizevnosti,Roman o srpskim granicarima u Habzburskoj monarhiji 18. veka i vecitoj cežnji za seobom.,24.99
Roman o Londonu,,Miloš Crnjanski:author,Laguna,9788652130849,,2019,402,sr,Latn,hardcover,Klasici srpske knjizevnosti,Prica o ruskom emigrantu knezu Rjepninu i njegovoj zeni u posleratnom Londonu.,23.99
Besnilo,,Borislav Pekić:author,Laguna,9788652107247,,2011,621,sr,Latn,paperback,Klasici srpske knjizevnosti,Zanr-roman o epidemiji mutiranog virusa besnila na aerodromu Hitrou.,18.99
Atlantida,,Borislav Pekić:author,Laguna,9788652107971,,2011,571,sr,Latn,paperback,Klasici srpske knjizevnosti,Deo antropoloske trilogije; spoj negativne utopije i trilera.,19.99
Grobnica za Borisa Davidoviča,,Danilo Kiš:author,Arhipelag,9788652300044,,2011,132,sr,Latn,hardcover,Kratke priče,Sedam povezanih novela o stradanju u komunistickim logorima.,19.99
"Bašta, pepeo",,Danilo Kiš:author,Arhipelag,9788652300020,,2011,169,sr,Latn,hardcover,Klasici srpske knjizevnosti,"Lirski roman o detinjstvu i odrastanju, o ocu i porodici u senci istorije.",18.99
Peščanik,,Danilo Kiš:author,Arhipelag,9788652300037,,,280,sr,Latn,hardcover,Klasici srpske knjizevnosti,"Roman o potrazi za ocem i identitetom, izgradjen od dokumentarnih fragmenata.",21.99
